customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update,address,district,city_id,postal_code,phone,location
7,1,"MARIA","MILLER","MARIA.MILLER@sakilacustomer.org",11,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"900 Santiago de Compostela Parkway","Central Serbia",280,93896,716571220373,"POINT (0 0)"
12,1,"NANCY","THOMAS","NANCY.THOMAS@sakilacustomer.org",16,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"808 Bhopal Manor","Haryana",582,10672,465887807014,"POINT (0 0)"
22,1,"LAURA","RODRIGUEZ","LAURA.RODRIGUEZ@sakilacustomer.org",26,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"28 Charlotte Amalie Street","Rabat-Sal-Zammour-Z",443,37551,161968374323,"POINT (0 0)"
30,1,"MELISSA","KING","MELISSA.KING@sakilacustomer.org",34,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1668 Anpolis Street","Taipei",316,50199,525255540978,"POINT (0 0)"
39,1,"DEBRA","NELSON","DEBRA.NELSON@sakilacustomer.org",43,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"306 Antofagasta Place","Esprito Santo",569,3989,378318851631,"POINT (0 0)"
47,1,"FRANCES","PARKER","FRANCES.PARKER@sakilacustomer.org",51,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"686 Garland Manor","Cear",247,52535,69493378813,"POINT (0 0)"
52,1,"JULIE","SANCHEZ","JULIE.SANCHEZ@sakilacustomer.org",56,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"939 Probolinggo Loop","Galicia",1,4166,680428310138,"POINT (0 0)"
74,1,"DENISE","KELLY","DENISE.KELLY@sakilacustomer.org",78,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1206 Dos Quebradas Place","São Paulo",431,20207,241832790687,"POINT (0 0)"
80,1,"MARILYN","ROSS","MARILYN.ROSS@sakilacustomer.org",84,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1888 Kabul Drive","Oyo & Osun",217,20936,701457319790,"POINT (0 0)"
100,1,"ROBIN","HAYES","ROBIN.HAYES@sakilacustomer.org",104,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1913 Kamakura Place","Lipetsk",238,97287,942570536750,"POINT (0 0)"
102,1,"CRYSTAL","FORD","CRYSTAL.FORD@sakilacustomer.org",106,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"659 Vaduz Drive","Ha Darom",34,49708,709935135487,"POINT (0 0)"
104,1,"RITA","GRAHAM","RITA.GRAHAM@sakilacustomer.org",108,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1386 Yangor Avenue","Provence-Alpes-Cte",543,80720,449216226468,"POINT (0 0)"
108,1,"TRACY","COLE","TRACY.COLE@sakilacustomer.org",112,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1002 Ahmadnagar Manor","Mxico",213,93026,371490777743,"POINT (0 0)"
115,1,"WENDY","HARRISON","WENDY.HARRISON@sakilacustomer.org",119,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1107 Nakhon Sawan Avenue","Mxico",365,75149,867546627903,"POINT (0 0)"
126,1,"ELLEN","SIMPSON","ELLEN.SIMPSON@sakilacustomer.org",130,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1666 Qomsheh Drive","São Paulo",410,66255,582835362905,"POINT (0 0)"
128,1,"MARJORIE","TUCKER","MARJORIE.TUCKER@sakilacustomer.org",132,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1050 Garden Grove Avenue","Slaskie",236,4999,973047364353,"POINT (0 0)"
130,1,"CHARLOTTE","HUNTER","CHARLOTTE.HUNTER@sakilacustomer.org",134,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"758 Junan Lane","Gois",190,82639,935448624185,"POINT (0 0)"
133,1,"PAULINE","HENRY","PAULINE.HENRY@sakilacustomer.org",137,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"261 Saint Louis Way","Coahuila de Zaragoza",541,83401,321944036800,"POINT (0 0)"
139,1,"AMBER","DIXON","AMBER.DIXON@sakilacustomer.org",143,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1029 Dzerzinsk Manor","Ynlin",542,57519,33173584456,"POINT (0 0)"
144,1,"CLARA","SHAW","CLARA.SHAW@sakilacustomer.org",148,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1027 Songkhla Manor","Minsk",340,30861,563660187896,"POINT (0 0)"
148,1,"ELEANOR","HUNT","ELEANOR.HUNT@sakilacustomer.org",152,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1952 Pune Lane","Saint-Denis",442,92150,354615066969,"POINT (0 0)"
159,1,"JILL","HAWKINS","JILL.HAWKINS@sakilacustomer.org",163,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1440 Compton Place","North Austria",307,81037,931059836497,"POINT (0 0)"
175,1,"ANNETTE","OLSON","ANNETTE.OLSON@sakilacustomer.org",179,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"431 Xi´angtan Avenue","Kerala",18,4854,230250973122,"POINT (0 0)"
179,1,"DANA","HART","DANA.HART@sakilacustomer.org",183,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1089 Iwatsuki Avenue","Kirov",270,35109,866092335135,"POINT (0 0)"
185,1,"ROBERTA","HARPER","ROBERTA.HARPER@sakilacustomer.org",189,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"927 Barcelona Street","Chaharmahal va Bakht",467,65121,951486492670,"POINT (0 0)"
191,1,"JEANETTE","GREENE","JEANETTE.GREENE@sakilacustomer.org",195,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1077 San Felipe de Puerto Plata Place","Rostov-na-Donu",369,65387,812824036424,"POINT (0 0)"
196,1,"ALMA","AUSTIN","ALMA.AUSTIN@sakilacustomer.org",200,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1074 Binzhou Manor","Baden-Wrttemberg",325,36490,331132568928,"POINT (0 0)"
207,1,"GERTRUDE","CASTILLO","GERTRUDE.CASTILLO@sakilacustomer.org",211,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"850 Salala Loop","Kitaa",371,10800,403404780639,"POINT (0 0)"
216,1,"NATALIE","MEYER","NATALIE.MEYER@sakilacustomer.org",220,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1201 Qomsheh Manor","Gois",28,21464,873492228462,"POINT (0 0)"
227,1,"COLLEEN","BURTON","COLLEEN.BURTON@sakilacustomer.org",231,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"430 Alessandria Loop","Saarland",439,47446,669828224459,"POINT (0 0)"
229,1,"TAMARA","NGUYEN","TAMARA.NGUYEN@sakilacustomer.org",233,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"356 Olomouc Manor","Gois",26,93323,22326410776,"POINT (0 0)"
231,1,"GEORGIA","JACOBS","GEORGIA.JACOBS@sakilacustomer.org",235,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"954 Kimchon Place","West Bengali",559,42420,541327526474,"POINT (0 0)"
234,1,"CLAUDIA","FULLER","CLAUDIA.FULLER@sakilacustomer.org",238,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"346 Skikda Parkway","Hawalli",233,90628,630424482919,"POINT (0 0)"
236,1,"MARCIA","DEAN","MARCIA.DEAN@sakilacustomer.org",240,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1479 Rustenburg Boulevard","Southern Tagalog",527,18727,727785483194,"POINT (0 0)"
237,1,"TANYA","GILBERT","TANYA.GILBERT@sakilacustomer.org",241,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"647 A Corua (La Corua) Street","Chollanam",357,36971,792557457753,"POINT (0 0)"
243,1,"LYDIA","BURKE","LYDIA.BURKE@sakilacustomer.org",247,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1483 Pathankot Street","Tucumn",454,37288,686015532180,"POINT (0 0)"
245,1,"COURTNEY","DAY","COURTNEY.DAY@sakilacustomer.org",249,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"300 Junan Street","Kyonggi",553,81314,890289150158,"POINT (0 0)"
246,1,"MARIAN","MENDOZA","MARIAN.MENDOZA@sakilacustomer.org",250,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"829 Grand Prairie Way","Paraná",328,6461,741070712873,"POINT (0 0)"
247,1,"STELLA","MORENO","STELLA.MORENO@sakilacustomer.org",251,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1473 Changhwa Parkway","Mxico",124,75933,266798132374,"POINT (0 0)"
263,1,"HILDA","HOPKINS","HILDA.HOPKINS@sakilacustomer.org",268,1,2006-02-14 22:04:36.000,2006-02-15 04:57:20.000,"1831 Nam Dinh Loop","National Capital Reg",323,51990,322888976727,"POINT (0 0)"
283,1,"FELICIA","SUTTON","FELICIA.SUTTON@sakilacustomer.org",288,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"226 Halifax Street","Xinxiang",277,58492,790651020929,"POINT (0 0)"
286,1,"VELMA","LUCAS","VELMA.LUCAS@sakilacustomer.org",291,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1155 Liaocheng Place","Oyo & Osun",152,22650,558236142492,"POINT (0 0)"
289,1,"VIOLET","RODRIQUEZ","VIOLET.RODRIQUEZ@sakilacustomer.org",294,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1912 Allende Manor","Kowloon and New Kowl",279,58124,172262454487,"POINT (0 0)"
290,1,"KRISTINA","CHAMBERS","KRISTINA.CHAMBERS@sakilacustomer.org",295,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"544 Tarsus Boulevard","Gurico",562,53145,892523334,"POINT (0 0)"
295,1,"DAISY","BATES","DAISY.BATES@sakilacustomer.org",300,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"661 Chisinau Lane","Pietari",274,8856,816436065431,"POINT (0 0)"
314,1,"GEORGE","LINTON","GEORGE.LINTON@sakilacustomer.org",319,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1957 Yantai Lane","São Paulo",490,59255,704948322302,"POINT (0 0)"
322,1,"JASON","MORRISSEY","JASON.MORRISSEY@sakilacustomer.org",327,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1427 A Corua (La Corua) Place","Buenos Aires",45,85799,972574862516,"POINT (0 0)"
325,1,"TIMOTHY","BUNN","TIMOTHY.BUNN@sakilacustomer.org",330,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"981 Kumbakonam Place","Distrito Federal",89,87611,829116184079,"POINT (0 0)"
350,1,"JUAN","FRALEY","JUAN.FRALEY@sakilacustomer.org",355,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"469 Nakhon Sawan Street","Tuvassia",531,58866,689199636560,"POINT (0 0)"
351,1,"JACK","FOUST","JACK.FOUST@sakilacustomer.org",356,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1378 Beira Loop","Krasnojarsk",597,40792,840957664136,"POINT (0 0)"
362,1,"NICHOLAS","BARFIELD","NICHOLAS.BARFIELD@sakilacustomer.org",367,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1163 London Parkway","Par",66,6066,675120358494,"POINT (0 0)"
371,1,"BILLY","POULIN","BILLY.POULIN@sakilacustomer.org",376,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1061 Ede Avenue","Southern Tagalog",98,57810,333390595558,"POINT (0 0)"
373,1,"LOUIS","LEONE","LOUIS.LEONE@sakilacustomer.org",378,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1191 Tandil Drive","Southern Tagalog",523,6362,45554316010,"POINT (0 0)"
385,1,"PHILLIP","HOLM","PHILLIP.HOLM@sakilacustomer.org",390,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"102 Chapra Drive","Ibaragi",521,14073,776031833752,"POINT (0 0)"
386,1,"TODD","TAN","TODD.TAN@sakilacustomer.org",391,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1793 Meixian Place","Hmelnytskyi",258,33535,619966287415,"POINT (0 0)"
393,1,"PHILIP","CAUSEY","PHILIP.CAUSEY@sakilacustomer.org",398,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"954 Lapu-Lapu Way","Moskova",278,8816,737229003916,"POINT (0 0)"
397,1,"JIMMY","SCHRADER","JIMMY.SCHRADER@sakilacustomer.org",402,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"616 Hagonoy Avenue","Krasnojarsk",39,46043,604177838256,"POINT (0 0)"
417,1,"TRAVIS","ESTEP","TRAVIS.ESTEP@sakilacustomer.org",422,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"289 Santo Andr Manor","al-Sharqiya",16,72410,214976066017,"POINT (0 0)"
426,1,"BRADLEY","MOTLEY","BRADLEY.MOTLEY@sakilacustomer.org",431,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1596 Acua Parkway","Jharkhand",418,70425,157133457169,"POINT (0 0)"
430,1,"RAY","HOULE","RAY.HOULE@sakilacustomer.org",435,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"740 Udaipur Lane","Nizni Novgorod",150,33505,497288595103,"POINT (0 0)"
433,1,"DON","BONE","DON.BONE@sakilacustomer.org",438,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"596 Huixquilucan Place","Nampula",351,65892,342709348083,"POINT (0 0)"
447,1,"CLIFFORD","BOWENS","CLIFFORD.BOWENS@sakilacustomer.org",452,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"207 Cuernavaca Loop","Tatarstan",352,52671,782900030287,"POINT (0 0)"
453,1,"CALVIN","MARTEL","CALVIN.MARTEL@sakilacustomer.org",458,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"138 Caracas Boulevard","Zulia",326,16790,974433019532,"POINT (0 0)"
460,1,"LEON","BOSTIC","LEON.BOSTIC@sakilacustomer.org",465,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"734 Tanshui Avenue","Caquet",170,70664,366776723320,"POINT (0 0)"
464,1,"JEROME","KENYON","JEROME.KENYON@sakilacustomer.org",469,1,2006-02-14 22:04:37.000,2006-02-15 04:57:20.000,"1872 Toulon Loop","OHiggins",428,7939,928809465153,"POINT (0 0)"
